Date,open,high,low,close,volume
03-01-2022,139.7,142.45,138.3,141.35,22520000
04-01-2022,141.35,141.55,137.6,138.35,10710000
05-01-2022,137.9,137.9,133.3,133.95,15880000
06-01-2022,133,133.15,129.6,130,23780000
07-01-2022,130,131.45,129,129.25,22850000
10-01-2022,130.5,130.9,129.4,130.2,11390000
11-01-2022,131,132.5,130,131.3,15400000
12-01-2022,132.1,132.9,131.6,132.25,8000000
13-01-2022,132.5,133.45,132.35,133.1,6540000
14-01-2022,133.1,134.45,132.05,133.6,9440000
17-01-2022,133.6,134.5,133,134,7520000
18-01-2022,134.5,134.6,132.8,133.05,9430000
19-01-2022,131.7,132.4,128.25,129.2,27810000
20-01-2022,127.95,130.7,125,125.2,23290000
21-01-2022,125.15,125.15,112.55,113.65,59810000
24-01-2022,114,114.2,90.95,91.35,167040000
25-01-2022,90.95,100.45,84.15,100.45,138340000
27-01-2022,98,98,90.45,90.5,106490000
28-01-2022,93.6,96.45,88.8,89.55,61450000
31-01-2022,91.35,92.5,89.65,90.4,20200000
01-02-2022,91.75,95.8,91.05,94.55,32610000
02-02-2022,95.75,99.75,94.8,98.9,18670000
03-02-2022,98.5,98.5,96.1,97.1,9770000
04-02-2022,97.2,97.85,93.6,94.2,15350000
07-02-2022,95.1,95.5,93.35,93.55,10900000
08-02-2022,94.35,94.65,91.25,93.55,9030000
09-02-2022,94.5,95.45,93.6,94.2,7880000
10-02-2022,94.9,95.4,93,94.45,13260000
11-02-2022,92.75,92.75,86.5,88.7,39980000
14-02-2022,87,87,80.55,82.45,35050000
15-02-2022,83.5,84.65,75.75,82.7,106220000
16-02-2022,85,87,84.25,84.95,33110000
17-02-2022,86.5,90.1,85.9,89.15,29570000
18-02-2022,88.1,88.4,85.2,85.9,15040000
21-02-2022,84.2,84.8,80.65,81.55,18850000
22-02-2022,78,80.55,77,79.7,28820000
23-02-2022,82,85.15,81.2,84.15,19850000
24-02-2022,78.65,81.5,78.1,78.5,22040000
25-02-2022,82,83.4,78.15,78.8,22880000
28-02-2022,79,80.95,76.55,79.95,41980000
02-03-2022,80,82,79,79.85,20350000
03-03-2022,81.5,83.2,81.2,82.2,16070000
04-03-2022,80.5,82.9,79.5,80.2,15150000
07-03-2022,79,79.65,78,79,9770000
08-03-2022,79.25,80.6,77.6,78.15,12380000
09-03-2022,79.45,80.65,78.9,80.35,11890000
10-03-2022,82.55,83.95,81.7,82.2,13480000
11-03-2022,82.4,82.4,79.5,79.9,18970000
14-03-2022,80.7,80.7,79,79.3,7260000
15-03-2022,79.3,79.6,76,76.55,18900000
16-03-2022,80,80,75.5,75.95,42380000
17-03-2022,77.2,82,76.8,80.85,34440000
21-03-2022,82,83.3,79.25,80.4,28670000
22-03-2022,80.95,81.9,79.3,81.15,23800000
23-03-2022,82,82,80.2,80.75,12520000
24-03-2022,80.7,82.35,80.05,80.35,13000000
25-03-2022,81,81.85,80.25,80.6,13590000
28-03-2022,80.6,81,79.15,79.65,10040000
29-03-2022,80.05,80.5,78.05,78.2,13470000
30-03-2022,79,86,78.5,85.05,41310000
31-03-2022,88.7,88.7,81.75,82.3,34670000
01-04-2022,82.1,85.6,82.05,84.3,15590000
04-04-2022,84.4,87.7,84.4,86.25,18040000
05-04-2022,83,85.15,82.35,83.9,28430000
06-04-2022,83.75,85.3,83.15,84.55,10700000
07-04-2022,84.8,85.25,82.25,82.5,9710000
08-04-2022,83.5,85.5,82.75,83.4,14850000
11-04-2022,83.15,85.85,83,84.45,17610000
12-04-2022,84.3,84.3,81,81.5,12910000
13-04-2022,82.5,88.3,82.15,83.9,52990000
18-04-2022,83.7,84.4,82.55,82.9,14210000
19-04-2022,83.1,83.9,79.45,80.45,13440000
20-04-2022,81.6,82.3,80,80.3,12800000
21-04-2022,81.1,81.85,80.65,80.8,6780000
22-04-2022,80.7,81.8,80.2,81.2,7210000
25-04-2022,80.5,81.6,78.6,78.75,16720000
26-04-2022,80.6,80.9,78.6,79.6,9550000
27-04-2022,79.4,79.6,75.5,75.85,23630000
28-04-2022,77.35,77.6,73.5,73.85,21340000
29-04-2022,74.7,74.85,71.1,71.75,24870000
02-05-2022,71.75,71.9,68.75,69.5,18460000
04-05-2022,69.75,70,63.9,64.45,43050000
05-05-2022,65.75,66.65,60.5,61.15,40300000
06-05-2022,59.3,62.3,57.65,60.5,47190000
09-05-2022,59.6,60.4,55.65,56.75,38280000
10-05-2022,55.75,56.75,50.05,52.45,45140000
11-05-2022,52,56.45,50.3,54.2,99810000
12-05-2022,53.8,53.9,51.05,51.95,37340000
13-05-2022,53.3,59.2,52.25,56.85,79290000
16-05-2022,56.85,57.7,54.75,56.4,37040000
17-05-2022,56.1,56.7,55.15,56.15,21460000
18-05-2022,56.1,59.6,55.85,58.75,57730000
19-05-2022,56.5,56.85,54.8,55.35,31970000
20-05-2022,56.5,58.75,56.4,58.05,32410000
23-05-2022,58.7,60.5,56.6,57.05,36830000
24-05-2022,57.95,67.6,57.9,64.95,193580000
25-05-2022,65.7,66.9,60.65,62.3,104450000
26-05-2022,61,62.5,59.6,60.45,46560000
27-05-2022,63,63,61.5,62.05,32060000
30-05-2022,63.25,72.1,62.6,71.05,124100000
31-05-2022,68.5,77.7,67.4,74.65,184330000
01-06-2022,75.4,79.8,73.1,74.7,127950000
02-06-2022,74.4,74.4,71.4,71.95,47870000
03-06-2022,73.9,74.85,71.2,72.15,35780000
06-06-2022,70,71.2,69.2,69.9,30080000
07-06-2022,69.7,69.7,64.75,65.4,41760000
08-06-2022,66,68.6,64.1,67.15,46700000
